ID,Compound Name,Primary Therapeutic Area,Primary Mechanism of Action,TASS Score,MANS Score,Disease similarity,Rationale for Scores
279,Denosumab,"Osteoporosis, Bone Metastases",RANKL Inhibitor (Monoclonal Antibody),0.2,9.9,0,"TA: Bone metabolism, unrelated. MoA: Inhibits osteoclast formation and function."
280,Desloratadine,"Allergic Rhinitis, Urticaria",H1-Histamine Receptor Antagonist,0,9.7,0,"TA: Allergy, unrelated. MoA: Histamine antagonism."
281,Desmopressin,"Diabetes Insipidus, Nocturia",Vasopressin Analog,0,9.9,0,"TA: Endocrine/urology, unrelated. MoA: Vasopressin V2 receptor agonism."
282,Desogestrel,Contraception,Progestin,0,9.9,0.7,"TA: Contraception, unrelated. MoA: Progesterone receptor agonism."
283,Desvenlafaxine,Major Depressive Disorder,Serotonin-Norepinephrine Reuptake Inhibitor (SNRI),1.4,9.7,1.4,"TA: Psychiatry, unrelated. Score reflects potential for weight changes. MoA: Monoamine reuptake inhibition."
284,Dexamethasone,"Inflammation, Autoimmune Diseases, Cancers",Corticosteroid,0.3,9.9,3.2,"TA: Inflammatory conditions, unrelated. MoA: Glucocorticoid receptor agonism."
285,Dexchlorpheniramine,Allergic Rhinitis,H1-Histamine Receptor Antagonist,0,9.7,0.8,"TA: Allergy, unrelated. MoA: Histamine antagonism."
286,Dexibuprofen,"Pain, Inflammation",Non-Steroidal Anti-inflammatory Drug (NSAID),0.5,9.4,4.1,"TA: Pain/inflammation, unrelated. MoA: COX inhibition."
287,Dexketoprofen,Pain,Non-Steroidal Anti-inflammatory Drug (NSAID),0.5,9.4,4.1,"TA: Pain/inflammation, unrelated. MoA: COX inhibition."
288,Dexlansoprazole,"GERD, Erosive Esophagitis",Proton Pump Inhibitor (PPI),0,10,1.6,"TA: GI acid disorders, unrelated. MoA: Irreversibly inhibits H+/K+-ATPase."
289,Dexrabeprazole,"GERD, Peptic Ulcers",Proton Pump Inhibitor (PPI),0,10,1.6,"TA: GI acid disorders, unrelated. MoA: Irreversibly inhibits H+/K+-ATPase."
290,Dextran 40,"Hypovolemia, Thrombosis Prophylaxis",Plasma Volume Expander,0,10,0,"TA: Fluid resuscitation, unrelated. MoA: Osmotic effect."
291,Dextromethorphan Hydrobromide,Cough,"Antitussive (NMDA Antagonist, Sigma-1 Agonist)",0,9.7,0,"TA: Cough suppression, unrelated. MoA: Acts on the cough center in the brainstem."
292,Dextrose,"Hypoglycemia, Fluid/Calorie Source",Carbohydrate,0,10,0.5,"TA: Nutrition/emergency medicine, unrelated. MoA: Simple sugar for energy."
293,Diacerein,Osteoarthritis,Anthraquinone (IL-1β Inhibitor),0.5,9.3,4.2,"TA: Joint inflammation, unrelated. MoA: Anti-inflammatory via IL-1 inhibition."
294,Diatrizoic Acid,Radiographic Contrast Agent,Contrast Media,0,10,0,"TA: Diagnostic imaging, unrelated. MoA: Iodine-based agent that opacifies vessels/organs to X-rays."
295,Diazepam,"Anxiety, Seizures, Muscle Spasms",Benzodiazepine (GABA-A Receptor Modulator),1.1,9.6,0.5,"TA: Psychiatry/neurology, unrelated. MoA: GABAergic modulation."
296,Diazoxide,"Hypoglycemia, Hypertensive Emergency",Potassium Channel Activator,0.4,9.8,1.8,"TA: Treats hypoglycemia, the opposite of Wegovy's T2DM context. MoA: Opens ATP-sensitive K+ channels."
297,Dichlorobenzyl Alcohol,Sore Throat,Antiseptic,0,10,0,"TA: Local antiseptic, unrelated. MoA: Non-specific antimicrobial action."
298,Diclofenac,"Pain, Inflammation",Non-Steroidal Anti-inflammatory Drug (NSAID),0.5,9.4,4.1,"TA: Pain/inflammation, unrelated. MoA: COX inhibition."
299,Dicyclomine,Irritable Bowel Syndrome (IBS),Anticholinergic/Antispasmodic,0,9.8,0.5,"TA: GI symptom relief, unrelated. MoA: Muscarinic antagonism."
300,Didanosine,HIV/AIDS,Nucleoside Reverse Transcriptase Inhibitor (NRTI),0.1,10,1,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral enzyme."
301,Dienogest,"Endometriosis, Contraception",Progestin,0,9.9,0.7,"TA: Gynecology, unrelated. MoA: Progesterone receptor agonism."
302,Diethylcarbamazine,Filariasis,Anthelmintic,0,10,0,"TA: Infectious disease, unrelated. MoA: Alters parasite membranes, making them susceptible to immune attack."
303,Digoxin,"Heart Failure, Atrial Fibrillation",Cardiac Glycoside (Na+/K+-ATPase Inhibitor),3.6,9.9,5.2,"TA: Treats heart failure, a relevant comorbidity. MoA: Inhibition of sodium-potassium pump."
304,Dihydralazine,Hypertension,Vasodilator,5.2,9.8,5.3,"TA: Treats hypertension, a key comorbidity. MoA: Direct smooth muscle relaxant."
305,Dill Oil,"Indigestion, Flatulence",Carminative,0,10,0.1,"TA: GI symptom relief, unrelated. MoA: Botanical with antispasmodic properties."
306,Diloxanide,Amebiasis,Luminal Amebicide,0,10,0,"TA: Infectious disease, unrelated. MoA: Unclear, acts on amoebic cysts."
307,Diltiazem,"Hypertension, Angina, Arrhythmias",Non-dihydropyridine Calcium Channel Blocker,5.2,9.8,5.6,TA: Treats hypertension and other CV conditions. MoA: Blocks calcium channels in heart and blood vessels.
308,Dimenhydrinate,"Motion Sickness, Nausea","Antihistamine, Anticholinergic",0,9.7,0.6,"TA: Antiemetic, unrelated. MoA: H1 and muscarinic antagonism."
309,Dimethicone,"Gas, Bloating",Antifoaming Agent,0,10,0,"TA: GI symptom relief, unrelated. MoA: Reduces surface tension of gas bubbles (physical action)."
310,Dimethindene,Allergic Reactions,H1-Histamine Receptor Antagonist,0,9.7,0.8,"TA: Allergy, unrelated. MoA: Histamine antagonism."
311,Dimethyl Fumarate,"Multiple Sclerosis, Psoriasis",Nrf2 Pathway Activator,0.5,9.3,0,"TA: Autoimmune/neurology, unrelated. MoA: Immunomodulatory and anti-inflammatory."
312,Dinoprostone,"Labor Induction, Cervical Ripening",Prostaglandin E2 Analog,0,9.9,0,"TA: Obstetrics, unrelated. MoA: Prostaglandin receptor agonism."
313,Diosmin,"Chronic Venous Insufficiency, Hemorrhoids",Phlebotonic Agent,0,10,2,"TA: Vascular disorders, unrelated. MoA: Improves venous tone and lymphatic drainage."
314,Diphenhydramine,"Allergic Reactions, Insomnia",H1-Histamine Receptor Antagonist,0,9.7,0.9,"TA: Allergy/sedation, unrelated. MoA: Histamine antagonism."
315,Diphenoxylate,Diarrhea,Opioid Receptor Agonist,0,9.8,0.3,"TA: GI symptom relief, unrelated. MoA: Slows gut motility via opioid receptors."
316,Dipyridamole,"Stroke Prevention, Thromboembolism","Antiplatelet, Vasodilator (PDE Inhibitor)",3.5,9.8,6.8,TA: CV risk reduction. MoA: Antiplatelet and vasodilator.
317,Disodium Hydrogen Citrate,"Urinary Tract Infections, Kidney Stones",Urinary Alkalinizer,0,10,4.7,"TA: Urological conditions, unrelated. MoA: Increases urine pH."
318,Disopyramide,Ventricular Arrhythmias,Class IA Antiarrhythmic (Sodium Channel Blocker),3.4,9.8,4.3,TA: Treats cardiac arrhythmias. MoA: Blocks cardiac sodium channels.
319,Disulfiram,Alcohol Dependence,Aldehyde Dehydrogenase Inhibitor,0,10,0.2,"TA: Substance use disorder, unrelated. MoA: Causes unpleasant reaction to alcohol."
320,Divalproex,"Epilepsy, Bipolar Disorder, Migraine",Anticonvulsant (Increases GABA),1.6,9.7,0,"TA: Neurology/psychiatry. Score reflects potential for weight gain. MoA: Increases GABA levels, blocks sodium channels."
321,Dobutamine,"Cardiogenic Shock, Severe Heart Failure",Beta-1 Adrenergic Receptor Agonist,3.6,9.8,0,TA: Acute heart failure management. MoA: Adrenergic agonism.
322,Docetaxel,Various Cancers,Taxane Antineoplastic (Microtubule Inhibitor),0,10,0,"TA: Oncology, unrelated. MoA: Disrupts microtubule function."
323,Docosahexanoic Acid,Nutritional Supplement,Omega-3 Fatty Acid,0.3,9.9,1.5,"TA: Nutrition. Minimal score for role in metabolic health. MoA: Essential fatty acid, precursor to signaling molecules."
324,Docusate,Constipation,Stool Softener,0,10,0.2,"TA: GI symptom relief, unrelated. MoA: Anionic surfactant that lowers surface tension of stool."
325,Dolutegravir,HIV/AIDS,Integrase Strand Transfer Inhibitor (INSTI),0.1,10,0.4,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral enzyme."
326,Domperidone,"Nausea, Vomiting, Dyspepsia",Dopamine D2 Receptor Antagonist,1.8,9.6,1.8,TA: GI motility/antiemetic. Minor symptomatic link. MoA: Peripheral dopamine antagonism.
327,Donepezil,Alzheimer's Disease,Acetylcholinesterase Inhibitor,0,9.8,0.3,"TA: Neurology, unrelated. MoA: Increases acetylcholine levels in the brain."
328,Dopamine,"Shock, Low Blood Pressure",Adrenergic/Dopaminergic Agonist,0.3,9.6,0,"TA: Critical care, unrelated. MoA: Acts on dopamine and adrenergic receptors."
329,Doripenem,Bacterial Infections,Carbapenem Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
330,Dosulepin,Depression,Tricyclic Antidepressant,1.5,9.7,2.4,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Monoamine reuptake inhibition."
331,Doxazosin,"Hypertension, BPH",Alpha-1 Adrenergic Receptor Antagonist,5.2,9.8,5.7,"TA: Treats hypertension, a key comorbidity. MoA: Alpha-blockade."
332,Doxepin,"Depression, Anxiety, Insomnia",Tricyclic Antidepressant,1.5,9.7,2.6,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Monoamine reuptake inhibition."
333,Doxofylline,"Asthma, COPD",Bronchodilator (Methylxanthine),0,9.8,0,"TA: Respiratory disease, unrelated. MoA: PDE inhibition."
334,Doxorubicin,Various Cancers,Anthracycline Antineoplastic,0,10,0,"TA: Oncology, unrelated. MoA: Intercalates into DNA."
335,Doxycycline,Bacterial Infections,Tetracycline Antibiotic (30S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
336,Doxylamine,"Insomnia, Nausea/Vomiting in Pregnancy",H1-Histamine Receptor Antagonist,0,9.7,0.9,"TA: Sedation/antiemetic, unrelated. MoA: Histamine antagonism."
337,Dronedarone,Atrial Fibrillation,Antiarrhythmic (Multi-channel Blocker),3.4,9.8,4.3,TA: Treats cardiac arrhythmias. MoA: Blocks cardiac ion channels.
338,Drospirenone,"Contraception, Acne","Progestin, Antiandrogen",0,9.9,0.7,"TA: Contraception/dermatology, unrelated. MoA: Progestin/antiandrogen activity."
339,Drotaverine,"Spasms (GI, Biliary, GU)",PDE4 Inhibitor (Antispasmodic),0,9.8,0,"TA: Spasm relief, unrelated. MoA: Smooth muscle relaxation via PDE4 inhibition."
340,Duloxetine,"Depression, Anxiety, Neuropathic Pain",Serotonin-Norepinephrine Reuptake Inhibitor (SNRI),1.4,9.7,4.9,"TA: Psychiatry/pain, unrelated. Score reflects potential for weight changes. MoA: Monoamine reuptake inhibition."
341,Dutasteride,Benign Prostatic Hyperplasia (BPH),5-alpha-reductase Inhibitor,0,9.9,1,"TA: Urological condition, unrelated. MoA: Inhibits conversion of testosterone to DHT."
342,Dydrogesterone,"Menstrual Disorders, Infertility",Progestogen,0,9.9,0.6,"TA: Gynecology, unrelated. MoA: Progesterone receptor agonism."
343,Ebastine,"Allergic Rhinitis, Urticaria",H1-Histamine Receptor Antagonist,0,9.7,0,"TA: Allergy, unrelated. MoA: Histamine antagonism."
344,Edaravone,"Amyotrophic Lateral Sclerosis (ALS), Stroke",Free Radical Scavenger,0,9.7,0,"TA: Neurology, unrelated. MoA: Antioxidant."
345,Efavirenz,HIV/AIDS,Non-Nucleoside Reverse Transcriptase Inhibitor (NNRTI),0.1,10,0.5,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral enzyme."
346,Efonidipine,Hypertension,Dihydropyridine Calcium Channel Blocker,5.2,9.8,5.4,"TA: Treats hypertension, a key comorbidity. MoA: Blocks L- and T-type calcium channels."
347,Eicosapentaenoic Acid,Hypertriglyceridemia,Omega-3 Fatty Acid,5.6,9.9,6,"TA: Treats dyslipidemia, a key comorbidity. MoA: Reduces hepatic triglyceride synthesis."
348,Electrolytes,"Dehydration, Electrolyte Imbalance",Electrolyte Replacement,0,10,0,"TA: Fluid/electrolyte management, unrelated. MoA: Provides essential ions."
349,Elemental Iron,Iron Deficiency Anemia,Mineral Supplement,0,10,0.1,"TA: Nutritional deficiency, unrelated. MoA: Provides iron for hemoglobin synthesis."
350,Eltrombopag,Thrombocytopenia,Thrombopoietin Receptor Agonist,0,9.9,0,"TA: Hematology, unrelated. MoA: Stimulates platelet production."
351,Empagliflozin,"Type 2 Diabetes, Heart Failure, CKD",SGLT2 Inhibitor,8.9,8,9.6,"TA: T2DM with strong indications for weight loss, CV risk reduction, and renal protection. MoA: Peripheral mechanism (renal glucose excretion)."
352,Emtricitabine,HIV/AIDS,Nucleoside Reverse Transcriptase Inhibitor (NRTI),0.1,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral enzyme."
353,Enalapril,"Hypertension, Heart Failure",Angiotensin-Converting Enzyme (ACE) Inhibitor,5.2,9.8,5.8,"TA: Treats hypertension and heart failure, key comorbidities. MoA: Inhibition of the RAAS pathway."
354,Enclomiphene,Hypogonadism,Selective Estrogen Receptor Modulator (SERM),0,9.9,4.7,"TA: Endocrinology, unrelated. MoA: Estrogen receptor modulation."
355,Enoxaparin,Thromboembolism Prophylaxis/Treatment,Low Molecular Weight Heparin (LMWH),3.5,9.9,6.6,"TA: Anticoagulation, relevant to CV risk. MoA: Potentiates antithrombin to inhibit clotting factors."
356,Entacapone,Parkinson's Disease,COMT Inhibitor,0,9.7,0,"TA: Neurology, unrelated. MoA: Inhibits breakdown of levodopa."
357,Entecavir,Hepatitis B,Nucleoside Analog (Reverse Transcriptase Inhibitor),0.1,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral enzyme."
358,Enzalutamide,Prostate Cancer,Androgen Receptor Antagonist,0,9.9,1,"TA: Oncology, unrelated. MoA: Androgen receptor blockade."
359,Epalrestat,Diabetic Neuropathy,Aldose Reductase Inhibitor,3.8,8.1,4.8,"TA: Treats a direct complication of T2DM. MoA: Inhibits the polyol pathway, a peripheral metabolic mechanism."
360,Eperisone,Muscle Spasms,Skeletal Muscle Relaxant,0,9.7,0,"TA: Musculoskeletal pain, unrelated. MoA: Acts on spinal cord and vascular smooth muscle."
361,Epirubicin,Various Cancers,Anthracycline Antineoplastic,0,10,0,"TA: Oncology, unrelated. MoA: Intercalates into DNA."
362,Eplerenone,"Heart Failure, Hypertension",Aldosterone Antagonist,3.6,9.8,5.9,TA: Treats heart failure and hypertension. MoA: Blocks mineralocorticoid receptors.
363,Eptifibatide,"Acute Coronary Syndrome, PCI",Glycoprotein IIb/IIIa Receptor Antagonist,3.5,9.8,6.9,TA: Acute cardiovascular intervention. MoA: Antiplatelet aggregation.
364,Erdosteine,Chronic Bronchitis,Mucolytic,0,10,0.3,"TA: Respiratory disease, unrelated. MoA: Thins mucus."
365,Ergotamine,Migraine,Ergot Alkaloid (Vasoconstrictor),0,9.6,0,"TA: Neurology (headache), unrelated. MoA: Acts on serotonin, dopamine, and adrenergic receptors."
366,Eribulin Mesylate,"Breast Cancer, Liposarcoma",Microtubule Inhibitor,0,10,0,"TA: Oncology, unrelated. MoA: Inhibits microtubule growth."
367,Erlotinib,"NSCLC, Pancreatic Cancer",Tyrosine Kinase Inhibitor (EGFR),0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition."
368,Ertapenem,Bacterial Infections,Carbapenem Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
369,Erythromycin,Bacterial Infections,Macrolide Antibiotic (50S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
370,Escitalopram Oxalate,"Depression, Anxiety",Selective Serotonin Reuptake Inhibitor (SSRI),1.3,9.7,1.3,"TA: Psychiatry, unrelated. Score reflects potential for weight changes. MoA: Serotonin reuptake inhibition."
371,Eslicarbazepine,Epilepsy,Anticonvulsant (Sodium Channel Blocker),0,9.7,0,"TA: Neurology, unrelated. MoA: Blocks neuronal sodium channels."
372,Esmolol,"Supraventricular Tachycardia, Hypertension",Beta-1 Adrenergic Receptor Antagonist,3.4,9.8,4.5,TA: Treats acute CV conditions. MoA: Beta-blockade.
373,Esomeprazole,"GERD, Peptic Ulcers",Proton Pump Inhibitor (PPI),0,10,1.6,"TA: GI acid disorders, unrelated. MoA: Irreversibly inhibits H+/K+-ATPase."
374,Estradiol,"Menopause Symptoms, Contraception",Estrogen Hormone,0.2,9.9,3.7,"TA: Hormone replacement, unrelated. MoA: Estrogen receptor agonism."
375,Estramustine,Prostate Cancer,Antineoplastic (Alkylating Agent + Estrogen),0,10,1,"TA: Oncology, unrelated. MoA: Acts as an alkylating agent and microtubule inhibitor."
376,Estriol,Vaginal Atrophy,Estrogen Hormone,0.2,9.9,3.5,"TA: Hormone replacement, unrelated. MoA: Estrogen receptor agonism."
377,Eszopiclone,Insomnia,Nonbenzodiazepine Hypnotic (GABA-A Modulator),0,9.6,0.5,"TA: Sleep disorder, unrelated. MoA: GABAergic modulation."
378,Etanercept,"Autoimmune Diseases (e.g., RA, Psoriasis)",TNF-alpha Inhibitor (Fusion Protein),1.5,9.2,4.4,"TA: Autoimmune/inflammatory diseases. Link via ""metaflammation"". MoA: Binds and neutralizes TNF-alpha."
379,Ethambutol,Tuberculosis,Antimycobacterial,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits mycobacterial cell wall synthesis."
380,Ethamsylate,"Bleeding (Menorrhagia, Surgical)",Hemostatic,0,10,0,"TA: Hemostasis, unrelated. MoA: Thought to enhance platelet adhesion and restore capillary resistance."
381,Ethinyl Estradiol,"Contraception, Menopause Symptoms",Synthetic Estrogen,0.2,9.9,3.7,"TA: Contraception/hormone replacement, unrelated. MoA: Estrogen receptor agonism."
382,Ethionamide,Tuberculosis,Antimycobacterial,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits mycolic acid synthesis."
383,Ethylmorphine,"Cough, Pain",Opioid Agonist,0,9.8,0.3,"TA: Cough/pain, unrelated. MoA: Opioid receptor agonism."
384,Etidronate,"Paget's Disease, Osteoporosis",Bisphosphonate,0.2,9.9,0,"TA: Bone metabolism, unrelated. MoA: Inhibition of osteoclast activity."
385,Etizolam,"Anxiety, Insomnia",Thienodiazepine (GABA-A Modulator),1.1,9.6,0.5,"TA: Psychiatry, unrelated. MoA: GABAergic modulation."
386,Etodolac,"Pain, Inflammation (Arthritis)",Non-Steroidal Anti-inflammatory Drug (NSAID),0.5,9.4,4.1,"TA: Pain/inflammation, unrelated. MoA: COX inhibition."
387,Etofylline,"Asthma, COPD",Bronchodilator (Xanthine derivative),0,9.8,0,"TA: Respiratory disease, unrelated. MoA: PDE inhibition/adenosine antagonism."
388,Etomidate,General Anesthesia Induction,Anesthetic,0,10,0,"TA: Anesthesiology, unrelated. MoA: Potentiates GABA-A receptors."
389,Etoposide,Various Cancers,Topoisomerase II Inhibitor,0,10,0,"TA: Oncology, unrelated. MoA: Inhibits DNA synthesis."
390,Etoricoxib,"Pain, Inflammation (Arthritis)",Selective COX-2 Inhibitor (NSAID),0.5,9.4,4.2,"TA: Pain/inflammation, unrelated. MoA: COX inhibition."
391,Euphorbia Prostrata Extract,Hemorrhoids,Botanical,0,10,2,"TA: Proctology, unrelated. MoA: Astringent and anti-inflammatory."
392,Evening Primrose Oil,"Eczema, PMS, Arthritis",Nutritional Supplement,0,10,0.4,"TA: Supplement, unrelated. MoA: Source of gamma-linolenic acid (GLA)."
393,Everolimus,"Cancer, Transplant Rejection",mTOR Inhibitor,0.4,9.1,3.3,TA: Oncology/immunology. Score reflects hyperglycemia as a common side effect. MoA: Kinase inhibition of a key metabolic pathway.
394,Evogliptin,Type 2 Diabetes,Dipeptidyl Peptidase-4 (DPP-4) Inhibitor,7.5,2.5,8,TA: T2DM is a key comorbidity. MoA: Directly modulates the incretin system.
395,Exemestane,Breast Cancer (HR+),Aromatase Inhibitor (Steroidal),0,9.9,3,"TA: Oncology, unrelated. MoA: Irreversible inhibition of estrogen synthesis."
396,Extractum Cepae-Cepalin,Scar Treatment,Botanical Extract,0,10,0,"TA: Dermatology (scarring), unrelated. MoA: Anti-inflammatory/fibrinolytic."
397,Ezetimibe,Hypercholesterolemia,Cholesterol Absorption Inhibitor,5.6,8.3,6.6,"TA: Treats dyslipidemia, a key comorbidity. MoA: Inhibits cholesterol absorption in the small intestine."
398,Famciclovir,Herpes Virus Infections,Antiviral (Prodrug of Penciclovir),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of viral DNA polymerase."
399,Famotidine,"Peptic Ulcers, GERD",H2-Histamine Receptor Antagonist,0,9.7,1.5,"TA: GI acid disorders, unrelated. MoA: Blocks histamine H2 receptors."
400,Faropenem,Bacterial Infections,Penem Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
401,Favipiravir,"Influenza, COVID-19",Antiviral (RNA Polymerase Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of a viral enzyme."
402,Febuxostat,"Gout, Hyperuricemia",Xanthine Oxidase Inhibitor,0.4,9.8,4.7,"TA: Gout, a metabolic disease. MoA: Inhibition of purine metabolism."
403,Felodipine,"Hypertension, Angina",Dihydropyridine Calcium Channel Blocker,5.2,9.8,5.4,"TA: Treats hypertension, a key comorbidity. MoA: Blocks calcium channels."
404,Fenofibrate,Hyperlipidemia,Fibrate (PPAR-alpha Agonist),5.6,8.3,6.7,"TA: Treats dyslipidemia, a key comorbidity. MoA: PPAR agonism affects lipid metabolism."
405,Fenoverine,Irritable Bowel Syndrome (IBS),Spasmolytic,0,9.8,0.5,"TA: GI symptom relief, unrelated. MoA: Modulates calcium channels in smooth muscle."
406,Fenticonazole,Fungal Infections (Vaginal),Azole Antifungal,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of fungal ergosterol synthesis."
407,Feracrylum,Wound Healing,Hemostatic/Antiseptic Polymer,0,10,0,"TA: Wound care, unrelated. MoA: Forms a physical barrier and has antimicrobial properties."
408,Ferric Carboxymaltose,Iron Deficiency Anemia,Iron Replacement,0,10,0.1,"TA: Nutritional deficiency, unrelated. MoA: Provides iron for hemoglobin synthesis."
409,Ferrous Ascorbate,Iron Deficiency Anemia,Iron/Vitamin C Supplement,0,10,0.1,"TA: Nutritional deficiency, unrelated. MoA: Provides iron and enhances its absorption."
410,Ferrous Bisglycinate,Iron Deficiency Anemia,Iron Supplement,0,10,0.1,"TA: Nutritional deficiency, unrelated. MoA: Provides iron."
411,Fexofenadine,"Allergic Rhinitis, Urticaria",H1-Histamine Receptor Antagonist,0,9.7,0,"TA: Allergy, unrelated. MoA: Histamine antagonism."
412,Fimasartan,Hypertension,Angiotensin II Receptor Blocker (ARB),5.2,9.8,5.8,"TA: Treats hypertension, a key comorbidity. MoA: Inhibition of the RAAS pathway."
413,Finasteride,"BPH, Male Pattern Baldness",5-alpha-reductase Inhibitor,0,9.9,1,"TA: Urology/dermatology, unrelated. MoA: Inhibits conversion of testosterone to DHT."
414,Fingolimod,Multiple Sclerosis,Sphingosine-1-phosphate Receptor Modulator,0,9.3,0,"TA: Neurology/immunology, unrelated. MoA: Sequesters lymphocytes in lymph nodes."
415,Flavoxate,"Overactive Bladder, Dysuria",Antispasmodic/Anticholinergic,0,9.8,0,"TA: Urological condition, unrelated. MoA: Smooth muscle relaxant."
416,Flucloxacillin Sodium,Bacterial Infections,Penicillinase-resistant Penicillin,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
417,Fluconazole,Fungal Infections,Azole Antifungal,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of fungal ergosterol synthesis."
418,Flucytosine,Systemic Fungal Infections,Antifungal (Antimetabolite),0,10,0,"TA: Infectious disease, unrelated. MoA: Converted to 5-fluorouracil in fungal cells, inhibiting DNA/RNA synthesis."
419,Fludarabine,Chronic Lymphocytic Leukemia (CLL),Purine Analog Antimetabolite,0,10,0,"TA: Oncology, unrelated. MoA: Inhibits DNA synthesis."
420,Flunarizine,"Migraine Prophylaxis, Vertigo",Calcium Channel Blocker,0,9.8,0.2,"TA: Neurology, unrelated. MoA: Blocks calcium channels."
421,Fluorouracil,Various Cancers,Antineoplastic (Antimetabolite),0,10,0,"TA: Oncology, unrelated. MoA: Inhibits thymidylate synthase."
422,Fluoxetine,"Depression, OCD, Panic Disorder",Selective Serotonin Reuptake Inhibitor (SSRI),1.8,9.7,1.2,"TA: Psychiatry, unrelated. Score reflects known effects on appetite/weight (can be loss or gain). MoA: Serotonin reuptake inhibition."
423,Flupenthixol,"Schizophrenia, Depression",Typical Antipsychotic,1.6,9.6,3.5,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Dopamine antagonism."
424,Fluphenazine,Schizophrenia,Typical Antipsychotic,1.6,9.6,3.5,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Dopamine antagonism."
425,Flupirtine,Pain,Selective Neuronal Potassium Channel Opener,0,9.8,0,"TA: Pain management, unrelated. MoA: Non-opioid central analgesic."
426,Flurazepam,Insomnia,Benzodiazepine (GABA-A Receptor Modulator),0,9.6,0.5,"TA: Sleep disorder, unrelated. MoA: GABAergic modulation."
427,Flutamide,Prostate Cancer,Antiandrogen,0,9.9,1,"TA: Oncology, unrelated. MoA: Androgen receptor antagonism."
428,Fluticasone Propionate,"Asthma, Allergic Rhinitis",Corticosteroid,0,9.9,0.2,"TA: Respiratory/allergy, unrelated. MoA: Glucocorticoid receptor agonism."
429,Fluvoxamine,"OCD, Depression",Selective Serotonin Reuptake Inhibitor (SSRI),1.3,9.7,1.2,"TA: Psychiatry, unrelated. Score reflects potential for weight changes. MoA: Serotonin reuptake inhibition."
430,Folic Acid,"Folate Deficiency, Neural Tube Defect Prevention",Vitamin B9 Supplement,0,10,0.1,"TA: Nutritional deficiency, unrelated. MoA: Coenzyme in nucleic acid and amino acid synthesis."
431,Fondaparinux,Thromboembolism Prophylaxis/Treatment,Synthetic Pentasaccharide (Indirect Factor Xa Inhibitor),3.5,9.9,6.6,"TA: Anticoagulation, relevant to CV risk. MoA: Binds antithrombin to selectively inhibit Factor Xa."
432,Fosaprepitant,CINV,Neurokinin-1 (NK1) Receptor Antagonist (Prodrug),1.8,9.7,0,TA: Antiemetic. Minor symptomatic link to Wegovy. MoA: NK1 antagonism.
433,Fosfomycin,Urinary Tract Infections,Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits bacterial cell wall synthesis."
434,Fosinopril,"Hypertension, Heart Failure",Angiotensin-Converting Enzyme (ACE) Inhibitor,5.2,9.8,5.8,TA: Treats hypertension and heart failure. MoA: Inhibition of the RAAS pathway.
435,Fosphenytoin,Seizures,Anticonvulsant (Prodrug of Phenytoin),0,9.7,0,"TA: Neurology, unrelated. MoA: Blocks neuronal sodium channels."
436,Fulvestrant,Breast Cancer (HR+),Selective Estrogen Receptor Degrader (SERD),0,9.9,2.9,"TA: Oncology, unrelated. MoA: Binds to and degrades the estrogen receptor."
437,Furazolidone,Bacterial/Protozoal Diarrhea,Nitrofuran Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits bacterial enzymes."
438,Furosemide,"Edema, Hypertension",Loop Diuretic,4,9.8,5.6,"TA: Treats edema (e.g., in heart failure) and hypertension. MoA: Inhibits Na-K-2Cl symporter in the kidney."
439,Fusidic Acid,Bacterial Infections (Staph),Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits bacterial protein synthesis."
